Carrier Code,Dep City Code,Dep City Name,Arr City Code,Arr City Name,General Aircraft Code,General Aircraft Name,Specific Aircraft Code,Specific Aircraft Name,Seats,Stopping City,GCD (km),Frequency,Seats (Total),Time series
"MI","XMN","Xiamen","SIN","Singapore","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","2990","29","4698","2019-08-01"
"MI","XMN","Xiamen","SIN","Singapore","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","2990","30","4860","2019-11-01"
"MK","MRU","Mauritius","SIN","Singapore","330","Airbus A330","332","Airbus A330-200","273","0","5588","12","3276","2019-02-01"
"MK","MRU","Mauritius","SIN","Singapore","330","Airbus Industrie A330","330","Airbus A330","288","0","5588","3","864","2019-04-01"
"MK","MRU","Mauritius","SIN","Singapore","330","Airbus Industrie A330","330","Airbus A330","288","0","5588","10","2880","2019-07-01"
"MK","SIN","Singapore","MRU","Mauritius","330","Airbus A330","332","Airbus A330-200","273","0","5588","12","3276","2019-02-01"
"MK","SIN","Singapore","MRU","Mauritius","330","Airbus Industrie A330","330","Airbus A330","288","0","5588","3","864","2019-04-01"
"MK","SIN","Singapore","MRU","Mauritius","330","Airbus Industrie A330","330","Airbus A330","288","0","5588","9","2592","2019-07-01"
"MU","CSX","Changsha","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","156","0","3138","30","4680","2019-11-01"
"MU","JJN","Quanzhou","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","156","0","3038","17","2652","2019-04-01"
"MU","JJN","Quanzhou","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","156","0","3038","18","2808","2019-07-01"
"MU","JJN","Quanzhou","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","156","0","3038","18","2808","2019-10-01"
"MU","KMG","Kunming","SIN","Singapore","737","Boeing 737 Passenger","737","Boeing 737 Passenger","174","0","2641","13","2262","2019-07-01"
"MU","KMG","Kunming","SIN","Singapore","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","168","0","2641","13","2184","2019-11-01"
"MU","KMG","Kunming","SIN","Singapore","737","Boeing 737 Passenger","73H","Boeing 737-800 (winglets) Passenger","160","0","2641","13","2080","2019-01-01"
"MU","SHA","Shanghai","SIN","Singapore","330","Airbus A330","332","Airbus A330-200","230","0","3803","6","1380","2019-12-01"
"MU","SHA","Shanghai","SIN","Singapore","330","Airbus A330","332","Airbus A330-200","232","0","3803","45","10440","2019-10-01"
"MU","SHA","Shanghai","SIN","Singapore","330","Airbus A330","333","Airbus A330-300","292","0","3803","13","3796","2019-03-01"
"MU","SHA","Shanghai","SIN","Singapore","330","Airbus A330","333","Airbus A330-300","292","0","3803","6","1752","2019-06-01"
"MU","SIN","Singapore","CSX","Changsha","32S","Airbus A318/319/320/321","320","Airbus A320","156","0","3138","30","4680","2019-11-01"
"MU","SIN","Singapore","JJN","Quanzhou","32S","Airbus A318/319/320/321","320","Airbus A320","156","0","3038","17","2652","2019-04-01"
"MU","SIN","Singapore","JJN","Quanzhou","32S","Airbus A318/319/320/321","320","Airbus A320","156","0","3038","18","2808","2019-07-01"
"MI","SIN","Singapore","PEN","Penang","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","600","44","7128","2019-06-01"
"MI","SIN","Singapore","PNH","Phnom Penh","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1135","22","3300","2019-03-01"
"MI","SIN","Singapore","PNH","Phnom Penh","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1135","39","5850","2019-06-01"
"MI","SIN","Singapore","PNH","Phnom Penh","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1135","20","3000","2019-09-01"
"MI","SIN","Singapore","PNH","Phnom Penh","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1135","11","1650","2019-12-01"
"MI","SIN","Singapore","PUS","Busan","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","4558","18","2916","2019-05-01"
"MI","SIN","Singapore","PUS","Busan","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","4558","18","2916","2019-08-01"
"MI","SIN","Singapore","REP","Siem Reap","32S","Airbus A318/319/320/321","319","Airbus A319","128","0","1339","2","256","2019-03-01"
"MI","SIN","Singapore","REP","Siem Reap","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1339","4","600","2019-01-01"
"MI","SIN","Singapore","REP","Siem Reap","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1339","8","1200","2019-04-01"
"MI","SIN","Singapore","REP","Siem Reap","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","1339","19","3078","2019-08-01"
"MI","SIN","Singapore","REP","Siem Reap","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","1339","18","2916","2019-11-01"
"MI","SIN","Singapore","RGN","Yangon","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","1930","31","5022","2019-02-01"
"MI","SIN","Singapore","RGN","Yangon","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","1930","11","1782","2019-05-01"
"MI","SIN","Singapore","RGN","Yangon","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","1930","27","4374","2019-08-01"
"MI","SIN","Singapore","SRG","Semarang","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1164","13","1950","2019-05-01"
"MI","SIN","Singapore","SRG","Semarang","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1164","9","1350","2019-08-01"
"MI","SIN","Singapore","SUB","Surabaya","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1374","16","2400","2019-11-01"
"MI","SIN","Singapore","SUB","Surabaya","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","1374","28","4536","2019-02-01"
"MI","SIN","Singapore","SUB","Surabaya","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","1374","41","6642","2019-05-01"
"MI","SIN","Singapore","SZX","Shenzhen","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","2591","31","5022","2019-03-01"
"MI","SIN","Singapore","SZX","Shenzhen","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","2591","50","8100","2019-06-01"
"MI","SIN","Singapore","SZX","Shenzhen","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","2591","47","7614","2019-09-01"
"MI","SIN","Singapore","UPG","Makassar","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1868","12","1800","2019-02-01"
"MI","SIN","Singapore","UPG","Makassar","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1868","9","1350","2019-05-01"
"MI","SIN","Singapore","UPG","Makassar","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1868","9","1350","2019-08-01"
"MI","SIN","Singapore","UPG","Makassar","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1868","12","1800","2019-11-01"
"MI","SIN","Singapore","VTZ","Vishakhapatnam","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","2906","13","1950","2019-03-01"
"MI","SIN","Singapore","VTZ","Vishakhapatnam","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","2906","12","1800","2019-06-01"
"MI","SIN","Singapore","VTZ","Vishakhapatnam","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","2906","13","1950","2019-09-01"
"MI","SIN","Singapore","XMN","Xiamen","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","2990","2","300","2019-08-01"
"MI","SIN","Singapore","XMN","Xiamen","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","2990","28","4536","2019-02-01"
"MI","SRG","Semarang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1164","13","1950","2019-05-01"
"MI","SRG","Semarang","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1164","9","1350","2019-08-01"
"MI","SUB","Surabaya","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1374","16","2400","2019-11-01"
"MI","SUB","Surabaya","SIN","Singapore","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","1374","28","4536","2019-02-01"
"MI","SUB","Surabaya","SIN","Singapore","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","1374","41","6642","2019-05-01"
"MI","SZX","Shenzhen","SIN","Singapore","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","2591","31","5022","2019-03-01"
"MI","SZX","Shenzhen","SIN","Singapore","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","2591","50","8100","2019-06-01"
"MI","SZX","Shenzhen","SIN","Singapore","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","2591","47","7614","2019-09-01"
"MI","UPG","Makassar","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1868","12","1800","2019-02-01"
"MI","UPG","Makassar","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1868","9","1350","2019-05-01"
"MI","UPG","Makassar","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1868","9","1350","2019-08-01"
"MI","UPG","Makassar","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","1868","12","1800","2019-11-01"
"MI","VTZ","Vishakhapatnam","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","2906","13","1950","2019-03-01"
"MI","VTZ","Vishakhapatnam","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","2906","12","1800","2019-06-01"
"MI","VTZ","Vishakhapatnam","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","2906","13","1950","2019-09-01"
"MI","XMN","Xiamen","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","150","0","2990","2","300","2019-08-01"
"MI","XMN","Xiamen","SIN","Singapore","737","Boeing 737 Passenger","738","Boeing 737-800 Passenger","162","0","2990","28","4536","2019-02-01"
"MK","KUL","Kuala Lumpur","SIN","Singapore","330","Airbus A330","332","Airbus A330-200","273","0","296","11","3003","2019-03-01"
"MK","KUL","Kuala Lumpur","SIN","Singapore","330","Airbus A330","332","Airbus A330-200","273","0","296","7","1911","2019-06-01"
"MK","KUL","Kuala Lumpur","SIN","Singapore","330","Airbus Industrie A330","330","Airbus A330","288","0","296","8","2304","2019-05-01"
"MK","KUL","Kuala Lumpur","SIN","Singapore","330","Airbus Industrie A330","330","Airbus A330","288","0","296","8","2304","2019-08-01"
"MK","KUL","Kuala Lumpur","SIN","Singapore","330","Airbus Industrie A330","330","Airbus A330","288","0","296","9","2592","2019-11-01"
"MK","MRU","Mauritius","SIN","Singapore","330","Airbus A330","332","Airbus A330-200","273","0","5588","9","2457","2019-09-01"
"MK","MRU","Mauritius","SIN","Singapore","330","Airbus A330","332","Airbus A330-200","273","0","5588","5","1365","2019-12-01"
"MK","MRU","Mauritius","SIN","Singapore","340","Airbus A340","343","Airbus A340-300","298","0","5588","3","894","2019-08-01"
"MK","SIN","Singapore","KUL","Kuala Lumpur","330","Airbus A330","332","Airbus A330-200","273","0","296","11","3003","2019-03-01"
"MK","SIN","Singapore","KUL","Kuala Lumpur","330","Airbus A330","332","Airbus A330-200","273","0","296","7","1911","2019-06-01"
"MK","SIN","Singapore","KUL","Kuala Lumpur","330","Airbus Industrie A330","330","Airbus A330","288","0","296","8","2304","2019-05-01"
"MK","SIN","Singapore","KUL","Kuala Lumpur","330","Airbus Industrie A330","330","Airbus A330","288","0","296","8","2304","2019-08-01"
"MK","SIN","Singapore","KUL","Kuala Lumpur","330","Airbus Industrie A330","330","Airbus A330","288","0","296","9","2592","2019-11-01"
"MK","SIN","Singapore","MRU","Mauritius","330","Airbus A330","332","Airbus A330-200","273","0","5588","9","2457","2019-09-01"
"MK","SIN","Singapore","MRU","Mauritius","330","Airbus A330","332","Airbus A330-200","273","0","5588","5","1365","2019-12-01"
"MU","CSX","Changsha","SIN","Singapore","32S","Airbus A318/319/320/321","320","Airbus A320","156","0","3138","13","2028","2019-04-01"
"MU","SHA","Shanghai","SIN","Singapore","330","Airbus A330","332","Airbus A330-200","230","0","3803","9","2070","2019-02-01"
"MU","SHA","Shanghai","SIN","Singapore","330","Airbus A330","332","Airbus A330-200","230","0","3803","8","1840","2019-05-01"
"MU","SHA","Shanghai","SIN","Singapore","330","Airbus A330","332","Airbus A330-200","232","0","3803","24","5568","2019-03-01"
"MU","SHA","Shanghai","SIN","Singapore","330","Airbus A330","333","Airbus A330-300","298","0","3803","5","1490","2019-10-01"
"MU","SHA","Shanghai","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","283","0","3803","56","15848","2019-02-01"
"MU","SHA","Shanghai","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","283","0","3803","73","20659","2019-05-01"
"MU","SHA","Shanghai","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","283","0","3803","62","17546","2019-08-01"
"MU","SIN","Singapore","CSX","Changsha","32S","Airbus A318/319/320/321","320","Airbus A320","156","0","3138","12","1872","2019-04-01"
"MU","SIN","Singapore","SHA","Shanghai","330","Airbus A330","332","Airbus A330-200","230","0","3803","10","2300","2019-02-01"
"MU","SIN","Singapore","SHA","Shanghai","330","Airbus A330","332","Airbus A330-200","230","0","3803","7","1610","2019-05-01"
"MU","SIN","Singapore","SHA","Shanghai","330","Airbus A330","332","Airbus A330-200","232","0","3803","22","5104","2019-03-01"
"MU","SIN","Singapore","SHA","Shanghai","330","Airbus A330","333","Airbus A330-300","298","0","3803","5","1490","2019-10-01"
"MU","SIN","Singapore","SHA","Shanghai","787","Boeing 787","789","Boeing 787-9","283","0","3803","55","15565","2019-02-01"
"MU","SIN","Singapore","SHA","Shanghai","787","Boeing 787","789","Boeing 787-9","283","0","3803","73","20659","2019-05-01"
"MU","SIN","Singapore","SHA","Shanghai","787","Boeing 787","789","Boeing 787-9","283","0","3803","62","17546","2019-08-01"
"NH","SIN","Singapore","TYO","Tokyo","777","Boeing 777 Passenger","77W","Boeing 777-300ER Passenger","250","0","5354","30","7500","2019-11-01"
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","789","Boeing 787-9","215","0","5296","30","6450","2019-03-01"
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","789","Boeing 787-9","215","0","5296","29","6235","2019-06-01"
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","789","Boeing 787-9","215","0","5354","30","6450","2019-03-01"
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","789","Boeing 787-9","215","0","5354","38","8170","2019-06-01"
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","789","Boeing 787-9","215","0","5354","28","6020","2019-09-01"
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","789","Boeing 787-9","246","0","5296","60","14760","2019-04-01"
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","789","Boeing 787-9","246","0","5296","33","8118","2019-07-01"
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","789","Boeing 787-9","246","0","5354","26","6396","2019-04-01"
"NH","SIN","Singapore","TYO","Tokyo","787","Boeing 787","789","Boeing 787-9","246","0","5354","13","3198","2019-07-01"
"NH","TYO","Tokyo","SIN","Singapore","777","Boeing 777 Passenger","77W","Boeing 777-300ER Passenger","250","0","5354","30","7500","2019-11-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","215","0","5296","30","6450","2019-03-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","215","0","5296","29","6235","2019-06-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","215","0","5354","30","6450","2019-03-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","215","0","5354","37","7955","2019-06-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","215","0","5354","29","6235","2019-09-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","246","0","5296","60","14760","2019-04-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","246","0","5296","33","8118","2019-07-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","246","0","5354","25","6150","2019-04-01"
"NH","TYO","Tokyo","SIN","Singapore","787","Boeing 787","789","Boeing 787-9","246","0","5354","13","3198","2019-07-01"
